Composition,Cal. E (GPa),Cal. G (GPa),Cal. K (GPa),Cal. K/G,E (GPa),E/? (GPa cm3/g),Ec (GPa) Calculated by Eq. (8.2),Ec (GPa) Calculated by Eq. (8.3),Ec (GPa) Calculated by Eq. (8.4),G (GPa),G (GPa).1,G/K,Gc (kJ/m^2),Hv (GPa),K (GPa),K/G,Kc (MPa m^1/2),Tg (K),Tl (K),Tm (K),Trg,Tx (K),dK/dP,dc (mm),dvl/dP (km/s GPa),dvs/dP (km/s GPa),mk,mt,vl (km/s),vl/vs,vs (km/s),?E/E0,?E/E0 (%),?G/G0,?G/G0 (%),?K/K0,?K/K0 (%),?Vl/Vl0 (%),?Vs/Vs0 (%),?vl/vl0,?vs/vs0,??D/?D0,??/?0,??/?0 (%),??/?0,??/?0 (%),?av,?l,?s,?sla,?D (K),?,? (g/cm3),?f (GPa)
Zr48Nb8Cu12Fe8Be24,,,,,95.7,,109.3,84.5,100.4,,,,,,,,,661,,,,733,4.099,,0.055,0.011,,,,,,22.2,0.99,24.5,0.91,4.09,1.59,0.55,0.23,4.52,10.9,11,,0.31,1.21,0.44,1.1,1.54,0.88,1.84,,,,
Zr41Ti14Cu12.5Ni10Be22.5,,,,,101,,113.8,88.7,105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sc36Co20Y20Al24,,,,,85.2,,84,74.6,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd60Fe20Al10Ni10,,,,,54.1,,65.3,47.4,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La66Al14Ni10Cu10,,,,,35.7,,49.5,41,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu60Hf10Zr20Ti10,,,,,101,,102.7,94.3,103.1,36.9,,,,7,,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,1.95
Ni40Cu6Ti16Zr28Al10,,,,,111,,115.3,93.9,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni40Cu5Ti16.5Zr28.5Al10,,,,,122,,114.8,93.6,106.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni39.8Cu5.97Ti15.92Zr27.86Al9.95Si0.5,,,,,117,,114.8,93.4,105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni60Sn6(Nb0.8Ta0.2)34,,,,,161.3,,149.3,120.8,139.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni60Sn6(Nb0.6Ta0.4)34,,,,,163.7,,156.2,126.2,145.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg75Ni15Y10,,,,,61,,59.2,50,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4,,,,,208,,227.4,122.8,167.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Fe0.75B0.15Si0.1)96Nb4,,,,,175,,198.7,134.7,162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe77Ga3P9.5C4B4Si2.5,,,,,182,,155.3,19.5,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe48Cr15Mo14Er2C15B6,,,,,200,,224.6,55.6,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5,,,,,257,,214.1,53.2,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zr,,,,,68,,,,,33,,,,9.03,,,,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,6.508,
Ti,,,,,116,,,,,44,,,,9.7,110,,,,,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,4.54,
Cu,,,,,130,,,,,48,,,,3.69,140,,,,,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,8.954,
Ni,,,,,200,,,,,76,,,,6.38,180,,,,,1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,8.902,
Nb,,,,,105,,,,,38,,,,13.2,170,,,,,2741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,8.58,
Mg,,,,,45,,,,,17,,,,,45,,,,,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,1.738,
Fe,,,,,211,,,,,82,,,,6.08,170,,,,,1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,7.874,
Al,,,,,70,,,,,26,,,,1.67,76,,,,,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,2.7,
Zn,,,,,108,,,,,43,,,,4.2,70,,,,,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,7.14,
Co,,,,,209,,,,,75,,,,10.43,180,,,,,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,8.89,
Cr,,,,,279,,,,,115,,,,10.06,160,,,,,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,7.19,
Be,,,,,287,,,,,132,,,,16.7,130,,,,,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1.847,
Hf,,,,,78,,,,,30,,,,17.6,110,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,13.31,
Pd,,,,,121,,,,,44,,,,4.61,180,,,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,12.02,
Au,,,,,78,,,,,27,,,,2.5,220,,,,,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,19.32,
