feat_name,importance,totalImp
maximum GSmagmom,0.0003898065594018874,0.02581365616359354
maximum Electronegativity,0.0063456018671562585,0.025597031417661693
mode NdValence,0.0021394160458847386,0.02507570471156012
mean simul. packing efficiency,0.003645270611427773,0.022365283393471484
minimum MeltingT,0.0027579211666542906,0.021158574661260303
dist from 5 clusters |APE| < 0.010,0.004484824083420168,0.020052051385092817
maximum GSvolume_pa,0.003751346386375648,0.01994776774324715
mean NdUnfilled,0.003023429735316358,0.01939673504436867
dist from 1 clusters |APE| < 0.010,0.00459237029355505,0.018697517786074005
dist from 3 clusters |APE| < 0.010,0.005675583390374144,0.018690582888553305
minimum Column,0.002086808778828221,0.018310669892736164
maximum MendeleevNumber,0.0062040423529979224,0.016109412697446368
maximum NfValence,0.002426587064628791,0.01564212441200829
minimum Electronegativity,0.003300276596712438,0.014953206800095702
range Row,0.003338532738048756,0.014857039448003692
range MendeleevNumber,0.0029953208738769106,0.014693488867472602
range MeltingT,0.0026648842047858625,0.014579295485390512
maximum NdValence,0.000811964080490141,0.01416534528842832
mode NdUnfilled,0.0013089377326333308,0.012517606620696144
maximum MeltingT,0.002548394633542737,0.012266560896747044
maximum CovalentRadius,0.001999084281398451,0.011529415393009826
mode CovalentRadius,0.0018725449491847378,0.010326935587907298
range Column,0.0021560911166383866,0.009764593606237555
maximum Column,0.00182242540624411,0.008914639051508546
maximum NdUnfilled,0.0005586408091810161,0.008258135769422848
minimum NValence,0.0013574272417510521,0.007495965505591707
0-norm,0.000758429846106946,0.007465489793294346
maximum NUnfilled,0.0011425426449751393,0.00721092043248073
mode SpaceGroupNumber,0.0024840055935057307,0.007204949675069954
minimum NUnfilled,0.001467468621314009,0.006923871621531722
mode NsValence,0.0002376671871211753,0.006789682027332707
maximum Row,0.001942981306566398,0.006447606650784677
maximum NfUnfilled,0.002372296173615683,0.005013501466838322
mode NpValence,0.0011015955930408735,0.004317109727531101
maximum NpUnfilled,0.001081864317436524,0.004160915653412205
mean NfUnfilled,0.0011212278427456526,0.00415328340072777
minimum NsValence,0.0009625563732950327,0.0031348774984623295
maximum SpaceGroupNumber,0.0003220612220069137,0.002717293671781207
maximum NsUnfilled,9.030592288458701e-05,0.002393396264370009
range NsValence,0.0006035104422197419,0.002224899584427892
mode NsUnfilled,0.0011552584143222065,0.0017982782296680436
minimum NdValence,0.0005659544725569261,0.0012236863217194856
minimum NdUnfilled,4.047036027734613e-06,0.00023981489468788094
minimum GSmagmom,0.0,0.0
